country,region,used_in_global_model,geo_level,sample,date started,date completed,result,N,unweighted positive,test,source
China,Wuhan,FALSE,,most of the analyzed medical records were based on examinees directed by their work units. Most of the examinees came from government-owned institutions and agencies instead of private businesses,2020-04-09,2020-04-13,3.18,"4,046",3.58,SARS-CoV-2 antibody detection kits (colloidal gold method) were provided by INNOVITA,https://www.medrxiv.org/content/10.1101/2020.06.16.20132423v3.full.pdf
China,Chengdu,FALSE,,"""Community resident""",2020-03-09,2020-04-10,0.6,"9,442",,,https://www.nature.com/articles/s41591-020-0949-6/tables/1
China,Chongqing,FALSE,,Outpatients,2020-03-09,2020-04-10,3.8,993,,,https://www.nature.com/articles/s41591-020-0949-6/tables/1
China,Wuhan,FALSE,,most of the analyzed medical records were based on examinees directed by their work units. Most of the examinees came from government-owned institutions and agencies instead of private businesses,2020-04-04,2020-04-08,7.67,"1,222",8.43,SARS-CoV-2 antibody detection kits (colloidal gold method) were provided by INNOVITA,https://www.medrxiv.org/content/10.1101/2020.06.16.20132423v3.full.pdf
China,Wuhan,FALSE,,most of the analyzed medical records were based on examinees directed by their work units. Most of the examinees came from government-owned institutions and agencies instead of private businesses,2020-03-30,2020-04-03,4.18,"1,694",5.14,SARS-CoV-2 antibody detection kits (colloidal gold method) were provided by INNOVITA,https://www.medrxiv.org/content/10.1101/2020.06.16.20132423v3.full.pdf
China,Wuhan,FALSE,,most of the analyzed medical records were based on examinees directed by their work units. Most of the examinees came from government-owned institutions and agencies instead of private businesses,2020-03-25,2020-03-29,2.98,523,3.82,SARS-CoV-2 antibody detection kits (colloidal gold method) were provided by INNOVITA,https://www.medrxiv.org/content/10.1101/2020.06.16.20132423v3.full.pdf
Denmark ,Denmark,Yes,1,Danish blood donors aged 17–69 years,2020-04-06,2020-05-03,1.9,"20,640",,,https://academic.oup.com/cid/advance-article/doi/10.1093/cid/ciaa849/5862661
Ethiopia,Addis Ababa,Yes,3,"Age 14 years or 72 higher; resident in Addis Ababa for all of November 2019-February 2020 and no travel outside 73 Ethiopia since November 1, 2019.The following exclusion criteria also were absent: sore 74 throat, runny nose, cough or difficulty breathing and/or hospitalized or quarantined in the last 28 75 days; measured temperature>99.6 Fahrenheit, resting heart rate >100/minut, and/or resting 76 respiratory rate ≥25/minute); incarceration for a crime; unwilling to participate; or unable to 77 consent.",2020-05-18,2020-05-21,3.03,99,,Abbott IgG test run on the ARCHITECT platform,https://www.medrxiv.org/content/10.1101/2020.06.23.20137521v1
Germany,Germany,Yes,1,Adult blood donors,2020-04-01,2020-08-19,1.25,"30,000",1.87,"IgG ELISA, corrected for false negatives / positives",https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Projekte_RKI/SeBluCo_Zwischenbericht.html
Germany,Bonn,Yes,3,"all individuals who were enrolled in the Rhineland Study, an ongoing community-based prospective cohort study in people aged 30 years and above",2020-04-24,2020-06-30,0.97,"4,771",,"Anti-SARS-CoV-2 IgG levels were measured using an ELISA assay, and all positive or borderline results were subsequently examined through both a recombinant immunofluorescent assay and a plaque reduction neutralisation test (PRNT).",https://www.medrxiv.org/content/10.1101/2020.08.24.20181206v1
Germany,Hesse,Yes,2,Residual material leftover from routine diagnostics ,2020-03-09,2020-06-03,0.66,910,,"ELISA, showed a high specificity of 99–100% and a sensitivity of ca65% [6-9].",https://www.eurosurveillance.org/docserver/fulltext/eurosurveillance/25/28/eurosurv-25-28-2.pdf?expires=1600446928&id=id&accname=guest&checksum=806D133AC79AFC3EFBD4EC8BDF973DA0
Germany,Lower Saxony,Yes,2,Residual material leftover from routine diagnostics ,2020-03-09,2020-06-03,1.22,576,,"ELISA, showed a high specificity of 99–100% and a sensitivity of ca65% [6-9].",https://www.eurosurveillance.org/docserver/fulltext/eurosurveillance/25/28/eurosurv-25-28-2.pdf?expires=1600446928&id=id&accname=guest&checksum=806D133AC79AFC3EFBD4EC8BDF973DA0
Germany,North Rhine-Westphalia,Yes,2,Residual material leftover from routine diagnostics ,2020-03-09,2020-06-03,0.91,"1,700",,"ELISA, showed a high specificity of 99–100% and a sensitivity of ca65% [6-9].",https://www.eurosurveillance.org/docserver/fulltext/eurosurveillance/25/28/eurosurv-25-28-2.pdf?expires=1600446928&id=id&accname=guest&checksum=806D133AC79AFC3EFBD4EC8BDF973DA0
Greece,Greece,Yes,1,"blood samples collected, individuals who visited the laboratories for a check-up, chronic disease follow-up or other reasons unrelated to COVID-19",2020-04-01,2020-04-30,0.49,"4,511",,"ABBOTT SARS-CoV-2 IgG assay, a chemiluminescent microparticle immunoassay (CMIA), with the ARCHITECT i2000SR analyzer (Abbott, Illinois, United States)",https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2020.25.31.2001369#html_fulltext
Greece,Greece,Yes,1,"blood samples collected, individuals who visited the laboratories for a check-up, chronic disease follow-up or other reasons unrelated to COVID-19",2020-03-01,2020-03-31,0.27,"2,075",,"ABBOTT SARS-CoV-2 IgG assay, a chemiluminescent microparticle immunoassay (CMIA), with the ARCHITECT i2000SR analyzer (Abbott, Illinois, United States)",https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2020.25.31.2001369#html_fulltext
Iceland,Iceland,Yes,1,random-population screening,2020-03-13,2020-04-04,0.8,"13,080",,LUH or deCODE Genetics with the use of similar quantitative real-time polymerase-chain-reaction (qRT-PCR) assay methods,https://www.nejm.org/doi/10.1056/NEJMoa2006100
India,Andhra Pradesh,FALSE,,,2020-08-07,2020-09-11,19.7,"74,000",,IgG antibodies using the Chemiluminescence Enzyme Immunoassays or CLIA method.,https://theprint.in/health/andhras-second-sero-survey-begins-today-45000-samples-to-be-collected-from-9-districts/489208/
India,Chennai,FALSE,,,NA,2020-09-01,21.5,"12,405","2,673",,https://www.indiatoday.in/india/story/chennai-sero-survey-findings-covid-coronavirus-transmission-1717489-2020-09-01
India,Ahmedanbad,FALSE,,,2020-08-15,2020-08-29,23.24,"10,310",,,https://indianexpress.com/article/cities/ahmedabad/second-survey-in-ahmedabad-sero-positivity-up-by-5-6-per-cent-since-june-no-herd-immunity-yet-6580951/
India,Indore,FALSE,,Aged 1 and above,NA,2020-08-29,7.72,"7,103",548,,https://www.indiatoday.in/india/story/indore-sero-survey-antibodies-found-nearly-people-1716506-2020-08-29
India,Delhi,FALSE,,,2020-08-01,2020-08-07,29.1,"15,000",4500,,https://www.indiatoday.in/india/story/delhi-covid-19-2nd-delhi-sero-survey-results-1713145-2020-08-20
India,Mumbai,FALSE,,"the three wards of R North (Dahisar), M West (Chembur) and F North, percentage extrapolated from slum and non-slum residents to combined slum and non-slum population",2020-07-06,2020-07-20,33,"6,936",,,https://timesofindia.indiatimes.com/city/mumbai/57-of-mumbai-slumdwellers-have-covid-antibodies-sero-survey/articleshow/77231640.cms
India,Ahmedanbad,FALSE,,,2020-06-16,2020-07-11,17.61,"30,054",,,https://indianexpress.com/article/cities/ahmedabad/second-survey-in-ahmedabad-sero-positivity-up-by-5-6-per-cent-since-june-no-herd-immunity-yet-6580951/
India,Delhi,FALSE,,,2020-06-27,2020-07-10,23,"21,387",4900,,https://www.indiatoday.in/india/story/coronavirus-delhi-sero-survey-report-herd-immunity-low-mortality-rate-experts-1703034-2020-07-22
India,India,Yes,1,"a randomly sampled, community-based survey was conducted in 700 villages/wards, selected from the 70 districts of the 21 States of India, categorized into four strata based on the incidence of reported COVID-19 cases. Four hundred adults per district were enrolled from 10 clusters with one adult per household.",2020-05-11,2020-06-04,0.73,"28,000",,Covid-19 Kavach ELISA detection kit.,http://www.ijmr.org.in/preprintarticle.asp?id=294807;type=0
India ,Pune,FALSE,,"high-incidence areas only, ranging from 36.1 per cent to 65.4 per cent in selected areas sampled in Pune city",NA,NA,51.5,"1,664",,,https://indianexpress.com/article/cities/pune/first-sero-survey-shows-extensive-spread-of-covid-19-from-36-1-to-65-4-in-selected-areas-sampled-in-pune-6558853/
Iran,Guilan province,Yes,2,population-based cluster random sampling design,2020-04-01,2020-04-23,22,551,,,https://www.medrxiv.org/content/10.1101/2020.04.26.20079244v1.full.pdf
Ireland,Ireland,Yes,1,12-69 year-olds randomly selected from the communities in Sligo and Dublin,2020-06-22,2020-07-16,1.7,"1,733",1.9,Abbott Architect SARS-CoV-2 IgG Assay to detect antibodies (IgG),https://www.hpsc.ie/a-z/respiratory/coronavirus/novelcoronavirus/scopi/SCOPI%20report%20preliminary%20results%20final%20version.pdf
Italy,Abruzzo,Yes,2,random sampling of population,2020-05-25,2020-07-15,1.5,"3,000",,,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioNotizieNuovoCoronavirus.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5012
Italy,Basilicata,Yes,2,random sampling of population,2020-05-25,2020-07-15,0.8,"3,000",,,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioNotizieNuovoCoronavirus.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5012
Italy,Bolzano/Bozen,Yes,2,random sampling of population,2020-05-25,2020-07-15,3.3,"3,000",,,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioNotizieNuovoCoronavirus.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5012
Italy,Calabria,Yes,2,random sampling of population,2020-05-25,2020-07-15,0.6,"3,000",,,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioNotizieNuovoCoronavirus.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5012
Italy,Campania,Yes,2,random sampling of population,2020-05-25,2020-07-15,0.7,"3,000",,,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioNotizieNuovoCoronavirus.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5012
Italy,Emilia-Romagna,Yes,2,random sampling of population,2020-05-25,2020-07-15,2.8,"3,000",,,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioNotizieNuovoCoronavirus.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5012
Italy,Friuli-Venezia Giulia,Yes,2,random sampling of population,2020-05-25,2020-07-15,1,"3,000",,,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioNotizieNuovoCoronavirus.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5012
Italy,Italy,Yes,1,random sampling of population,2020-05-25,2020-07-15,2.5,"64,660",,,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioNotizieNuovoCoronavirus.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5012
Italy,Lazio,Yes,2,random sampling of population,2020-05-25,2020-07-15,1,"3,000",,,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioNotizieNuovoCoronavirus.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5012
Italy,Liguria,Yes,2,random sampling of population,2020-05-25,2020-07-15,3.1,"3,000",,,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioNotizieNuovoCoronavirus.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5012
Italy,Lombardia,Yes,2,random sampling of population,2020-05-25,2020-07-15,7.5,"3,000",,,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioNotizieNuovoCoronavirus.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5012
Italy,Marche,Yes,2,random sampling of population,2020-05-25,2020-07-15,2.7,"3,000",,,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioNotizieNuovoCoronavirus.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5012
Italy,Molise,Yes,2,random sampling of population,2020-05-25,2020-07-15,0.7,"3,000",,,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioNotizieNuovoCoronavirus.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5012
Italy,Piemonte,Yes,2,random sampling of population,2020-05-25,2020-07-15,3,"3,000",,,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioNotizieNuovoCoronavirus.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5012
Italy,Puglia,Yes,2,random sampling of population,2020-05-25,2020-07-15,0.9,"3,000",,,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioNotizieNuovoCoronavirus.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5012
Italy,Sardegna,Yes,2,random sampling of population,2020-05-25,2020-07-15,0.3,"3,000",,,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioNotizieNuovoCoronavirus.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5012
Italy,Sicilia,Yes,2,random sampling of population,2020-05-25,2020-07-15,0.3,"3,000",,,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioNotizieNuovoCoronavirus.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5012
Italy,Toscana,Yes,2,random sampling of population,2020-05-25,2020-07-15,1,"3,000",,,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioNotizieNuovoCoronavirus.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5012
Italy,Trento,Yes,2,random sampling of population,2020-05-25,2020-07-15,3.1,"3,000",,,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioNotizieNuovoCoronavirus.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5012
Italy,Umbria,Yes,2,random sampling of population,2020-05-25,2020-07-15,0.9,"3,000",,,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioNotizieNuovoCoronavirus.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5012
Italy,Valle d'Aosta/Vallée…,Yes,2,random sampling of population,2020-05-25,2020-07-15,4,"3,000",,,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioNotizieNuovoCoronavirus.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5012
Italy,Veneto,Yes,2,random sampling of population,2020-05-25,2020-07-15,1.9,"3,000",,,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioNotizieNuovoCoronavirus.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5012
Japan,Kobe,FALSE,,patients at outpatient settings,2020-03-31,2020-04-07,2.7,"1,000",3.3,"immunochromatographic test to detect IgG against SARS-CoV-2 was used for the analysis (RCNC002, KURABO Industries Lt)",https://www.medrxiv.org/content/10.1101/2020.04.26.20079822v1.full.pdf
Kenya,Kenya,Yes,1,blood transfusion donors15-17 or expectant mothers attending ante-natal clinics,2020-04-30,2020-06-16,5.2,"3,098",5.6,Krammer Enzyme linked Immunosorbent assay (ELISA),https://www.medrxiv.org/content/10.1101/2020.07.27.20162693v1.full.pdf
Malaysia,Kuala Lumpur and Selangor State,FALSE,,residual serum samples collected at a teaching hospital serving Kuala Lumpur and Selangor state,2020-04-15,2020-06-06,0.4,261,0.5,"first screened with an in‐house indirect enzyme‐linked immunosorbent assay (ELISA) detecting IgG to SARS‐CoV‐2 receptor binding domain (RBD), and shown to be 100% sensitive for samples collected from 14 days postonset of illness.3 Screen‐seropositive samples were confirmed with a highly sensitive and specific (99.3%‐100%) surrogate viral neutralization test (sVNT; cPass, GenScript) based on total antibody‐mediated blockage of angiotensin‐converting enzyme 2 receptor‐RBD interaction,",https://onlinelibrary.wiley.com/doi/full/10.1002/jmv.26426
Malaysia,Kuala Lumpur and Selangor State,FALSE,,residual serum samples collected at a teaching hospital serving Kuala Lumpur and Selangor state,2020-01-29,2020-04-14,0.4,327,0.6,"first screened with an in‐house indirect enzyme‐linked immunosorbent assay (ELISA) detecting IgG to SARS‐CoV‐2 receptor binding domain (RBD), and shown to be 100% sensitive for samples collected from 14 days postonset of illness.3 Screen‐seropositive samples were confirmed with a highly sensitive and specific (99.3%‐100%) surrogate viral neutralization test (sVNT; cPass, GenScript) based on total antibody‐mediated blockage of angiotensin‐converting enzyme 2 receptor‐RBD interaction,",https://onlinelibrary.wiley.com/doi/full/10.1002/jmv.26426
Netherlands,Netherlands,Yes,1,blood donors,2020-05-09,2020-05-18,5.5,"7,000",,,https://www.tweedekamer.nl/downloads/document?id=e7f03364-2f26-4703-9636-706b4826f59e&title=Presentatie%20de%20heer%20Van%20Dissel%20-%20RIVM.pdf
Netherlands,Netherlands,Yes,1,"random sample of population. In early June, the initial study participants and a number of additional participants were asked to do their own finger-stick blood test up to 6 times over the next 1.5 years.",2020-04-01,2020-04-17,3.6,"2,096",,,https://www.rivm.nl/en/novel-coronavirus-covid-19/children-and-covid-19
Netherlands,Netherlands,Yes,1,blood donors,2020-04-01,2020-04-15,3.5,"4,000",,,https://www.sanquin.nl/over-sanquin/nieuws/2020/08/sanquin-onderzoek-mensen-kunnen-slecht-inschatten-of-ze-corona-hebben
Nigeria,Niger State,FALSE,,"clustered-stratified-Random sampling, numbers cited exclude health care workers (who otherwise would have been 25 percent and had much higher rates",2020-06-26,2020-06-30,19.01,142,,COVID-19 IgG and IgM Rapid Test Kits (Colloidal gold immunochromatography lateral flow system),https://www.medrxiv.org/content/10.1101/2020.08.04.20168112v1
Norway,Norway,Yes,1,"blood samples collected from labs, excluding those submitted to be tested for sars-covid-2 originally",2020-04-20,2020-05-11,0.9,900,,"novel in-house assay established at the Department of Immunology, Oslo University Hospital",https://www.fhi.no/globalassets/dokumenterfiler/rapporter/2020/covid-19/seroprevalence-of-sars-cov-2-in-the-norwegian-population_report-26-06-2020.pdf
Pakistan,Urban areas,FALSE,,"large scale census conducted on a dense, urban, working population in Pakistan",,2020-07-06,17.5,"24,210",,gG/IgM Test Kit (Colloidal gold),https://www.medrxiv.org/content/10.1101/2020.08.13.20173914v1
Russia,Moscow,FALSE,,Random sample of city population,2020-06-05,2020-06-18,19.9,"90,000",,,https://www.themoscowtimes.com/2020/06/26/1-in-5-moscow-residents-have-coronavirus-antibodies-official-a70712
Russia,Russia,Yes,1,"Testing in all 46 regions of the country, country-wide effort",2020-06-01,2020-06-10,14,"650,000",,,https://www.interfax.ru/russia/712617
Russia,St. Petersburg,FALSE,,Random sample of city population,2020-05-18,2020-06-07,5.7,490,8,,https://eusp.org/en/news/press-release-6-of-people-in-st-petersburg-russia-have-had-covid-19-0
Russia,Moscow,FALSE,,random sampling of population,2020-05-15,2020-05-28,14,"70,000",,ELISA  IgM antibodies in the patient's blood (a marker of the presence of coronavirus infection) and IgG (a marker of immunity to coronavirus infection,https://www.interfax.ru/moscow/710758
Spain,Albacete,Yes,2,random sample recruited through national serosurvey,2020-06-08,2020-06-22,10.8,"1,051",,anticuerpos IgG anti SARS-CoV-2 por provincia (test rápido),https://www.mscbs.gob.es/ciudadanos/ene-covid/docs/ESTUDIO_ENE-COVID19_INFORME_FINAL.pdf
Spain,Alicante/Alacant,Yes,2,random sample recruited through national serosurvey,2020-06-08,2020-06-22,3,"1,564",,anticuerpos IgG anti SARS-CoV-2 por provincia (test rápido),https://www.mscbs.gob.es/ciudadanos/ene-covid/docs/ESTUDIO_ENE-COVID19_INFORME_FINAL.pdf
Spain,Almería,Yes,2,random sample recruited through national serosurvey,2020-06-08,2020-06-22,3.4,901,,anticuerpos IgG anti SARS-CoV-2 por provincia (test rápido),https://www.mscbs.gob.es/ciudadanos/ene-covid/docs/ESTUDIO_ENE-COVID19_INFORME_FINAL.pdf
Spain,Araba/Álava,Yes,2,random sample recruited through national serosurvey,2020-06-08,2020-06-22,6.4,772,,anticuerpos IgG anti SARS-CoV-2 por provincia (test rápido),https://www.mscbs.gob.es/ciudadanos/ene-covid/docs/ESTUDIO_ENE-COVID19_INFORME_FINAL.pdf
Spain,Ávila,Yes,2,random sample recruited through national serosurvey,2020-06-08,2020-06-22,8,661,,anticuerpos IgG anti SARS-CoV-2 por provincia (test rápido),https://www.mscbs.gob.es/ciudadanos/ene-covid/docs/ESTUDIO_ENE-COVID19_INFORME_FINAL.pdf
Spain,Badajoz,Yes,2,random sample recruited through national serosurvey,2020-06-08,2020-06-22,2.7,"1,577",,anticuerpos IgG anti SARS-CoV-2 por provincia (test rápido),https://www.mscbs.gob.es/ciudadanos/ene-covid/docs/ESTUDIO_ENE-COVID19_INFORME_FINAL.pdf
Spain,"Balears, Illes",Yes,2,random sample recruited through national serosurvey,2020-06-08,2020-06-22,1.4,"1,280",,anticuerpos IgG anti SARS-CoV-2 por provincia (test rápido),https://www.mscbs.gob.es/ciudadanos/ene-covid/docs/ESTUDIO_ENE-COVID19_INFORME_FINAL.pdf
Spain,Barcelona,Yes,2,random sample recruited through national serosurvey,2020-06-08,2020-06-22,7.3,"3,664",,anticuerpos IgG anti SARS-CoV-2 por provincia (test rápido),https://www.mscbs.gob.es/ciudadanos/ene-covid/docs/ESTUDIO_ENE-COVID19_INFORME_FINAL.pdf
Spain,Bizkaia,Yes,2,random sample recruited through national serosurvey,2020-06-08,2020-06-22,3.6,"1,277",,anticuerpos IgG anti SARS-CoV-2 por provincia (test rápido),https://www.mscbs.gob.es/ciudadanos/ene-covid/docs/ESTUDIO_ENE-COVID19_INFORME_FINAL.pdf
Spain,Burgos,Yes,2,random sample recruited through national serosurvey,2020-06-08,2020-06-22,5.7,900,,anticuerpos IgG anti SARS-CoV-2 por provincia (test rápido),https://www.mscbs.gob.es/ciudadanos/ene-covid/docs/ESTUDIO_ENE-COVID19_INFORME_FINAL.pdf
Spain,Cáceres,Yes,2,random sample recruited through national serosurvey,2020-06-08,2020-06-22,3.9,"1,163",,anticuerpos IgG anti SARS-CoV-2 por provincia (test rápido),https://www.mscbs.gob.es/ciudadanos/ene-covid/docs/ESTUDIO_ENE-COVID19_INFORME_FINAL.pdf
